"skills","avg_salary"
"pyspark","208172"
"bitbucket","189155"
"couchbase","160515"
"watson","160515"
"datarobot","155486"
"gitlab","154500"
"swift","153750"
"jupyter","152777"
"pandas","151821"
"elasticsearch","145000"
"golang","145000"
"numpy","143513"
"databricks","141907"
"linux","136508"
"kubernetes","132500"
"atlassian","131162"
"twilio","127000"
"airflow","126103"
"scikit-learn","125781"
"jenkins","125436"
"notion","125000"
"scala","124903"
"postgresql","123879"
"gcp","122500"
"microstrategy","121619"
